card-digitalprofile-name	card-digitalprofile-position	line-clamp-2
A.I.A. SPA  AGRICOLA ITALIANA ALIMENTARE	POSIZIONE	B5/044, B5/043
AB ITALMILL - DIVISIONE DI AB MAURI ITALY SPA	POSIZIONE	B5/040, B5/041
BINDI S.p.A.	POSIZIONE	Hall B5-D5/001
CAFE' CENTRO BRASIL VITTORIO WURZBURGER SAS & C.	POSIZIONE	A1/161
DISTILLERIE RUFFINI SRL	POSIZIONE	A5/099
DULCISTAR SRL	POSIZIONE	A7/122
EUROVO SRL	POSIZIONE	B5/023
FBM SRL	POSIZIONE	B3/034
FORNO D'ASOLO SPA	POSIZIONE	B2/001, B2/002
IL PASTICCERE	POSIZIONE	Hall B7-D7/004
LEAGEL SRL	POSIZIONE	C7/005, Hall A6-C6/001
MARTINI PROFESSIONAL - UNIGRA' S.p.A	POSIZIONE	A5/121, A5/127
NOVACART SPA	POSIZIONE	D5/072
NUTKAO SRL	POSIZIONE	D5/040
SAMMONTANA SPA	POSIZIONE	Hall B7-D7/003A, Hall B7-D7/001, Hall B7-D7/003, Hall B7-D7/001A, Hall B7-D7/004
SAMMONTANA SPA SOCIETA' BENEFIT - TREMARIE	POSIZIONE	Hall B5-D5/002
2BIT SRL	POSIZIONE	D7/014
9 BAR SRL	POSIZIONE	A1/026
A RICCHIGIA SRL	POSIZIONE	B3/130
A.B.A. ARREDAMENTI SPA	POSIZIONE	A3/167
A.I.B.E.S. ASSOCIAZIONE ITALIANA BARMAN	POSIZIONE	A1/057
A.M.I.R.A. ASSOC. MAITRES ITALIANI RIST. ALBERGHI SEZIONE ROMAGNA	POSIZIONE	D8/114
ABATERANINKUNGA BA SHOLI	POSIZIONE	B1/104
ACCADEMIA MAESTRI DEL LIEVITO MADRE E DEL PANETTONE ITALIANO	POSIZIONE	B2/026
ACCADEMIA MAESTRI PASTICCERI ITALIANI	POSIZIONE	Hall SUD/009
Accademia Nazionale Pizza DOC	POSIZIONE	D8/076
ACOMAG - ASS.NE NAZ.LE COSTRUTTORI MACCHINE, ARREDAMENTI, ATTREZZATURE PER GELATO	POSIZIONE	A5/102
ADANOS ENDUSTRIYEL SOGUTMA SISTEMLERI TICARET VE SANAYI LIMITED SIRKETI	POSIZIONE	D4/014B
ADIMAC VENDING MACHINE	POSIZIONE	C3/187
ADIMAC VENDING MACHINES	POSIZIONE	C3/101
ADRIATICA ACQUE SRL	POSIZIONE	B1/108
AEFFE AGOSTONI Srl	POSIZIONE	A2/015A, A2/015, A2/041
Aetna Group S.p.A.	POSIZIONE	Hall B7-D7/009
AEXPERIAL SAS	POSIZIONE	C1/038
AFA ARREDAMENTI	POSIZIONE	A2/015A, A2/015, A2/041
AGENZIA ICE - ITALIAN TRADE AGENCY	POSIZIONE	Hall SUD/200, B1/104
AGORA' SRL	POSIZIONE	C6/058
AGRINDUSTRIA PLAST SRL	POSIZIONE	D4/056
AGRISMART	POSIZIONE	B1/104
AIBI ASSOCIAZIONE ITALIANA BAKERY INGREDIENTS	POSIZIONE	D4/057
A.I.A. SPA  AGRICOLA ITALIANA ALIMENTARE	POSIZIONE	B5/044, B5/043
AB ITALMILL - DIVISIONE DI AB MAURI ITALY SPA	POSIZIONE	B5/040, B5/041
BINDI S.p.A.	POSIZIONE	Hall B5-D5/001
CAFE' CENTRO BRASIL VITTORIO WURZBURGER SAS & C.	POSIZIONE	A1/161
FORNO D'ASOLO SPA	POSIZIONE	B2/001, B2/002
IL PASTICCERE	POSIZIONE	Hall B7-D7/004
LEAGEL SRL	POSIZIONE	C7/005, Hall A6-C6/001
MARTINI PROFESSIONAL - UNIGRA' S.p.A	POSIZIONE	A5/121, A5/127
NOVACART SPA	POSIZIONE	D5/072
NUTKAO SRL	POSIZIONE	D5/040
SAMMONTANA SPA	POSIZIONE	Hall B7-D7/003A, Hall B7-D7/001, Hall B7-D7/003, Hall B7-D7/001A, Hall B7-D7/004
SAMMONTANA SPA SOCIETA' BENEFIT - TREMARIE	POSIZIONE	Hall B5-D5/002
AEXPERIAL SAS	POSIZIONE	C1/038
AFA ARREDAMENTI	POSIZIONE	A2/015A, A2/015, A2/041
AGORA' SRL	POSIZIONE	C6/058
AGRINDUSTRIA PLAST SRL	POSIZIONE	D4/056
AKDENIZ DEPO LOJISTIK EKIP. HIRDAVAT SAN. VE TIC. LTD. STI.	POSIZIONE	A6/034
ALBA SRL	POSIZIONE	B5/012
AlBATEEL TRADING CO. FOR FOOD STUFF (LEUVEN)	POSIZIONE	B3/022
ALBERT SRL	POSIZIONE	C5/049
ALCAS SPA	POSIZIONE	Hall A5-C5/035
ALFA FORNI SRL	POSIZIONE	D8/072
ALFONSO FORNI - NUNZIO ALFONSO SRL	POSIZIONE	D8/109
ALI D'ORO SRL	POSIZIONE	A5/160
ALIMENTA PRODUZIONI SRL	POSIZIONE	B7/174
ALIMENTARE UMBRA SRL SOCIETA AGRICOLA	POSIZIONE	B5/008
ALPRO	POSIZIONE	B1/110
ALTER ECO PULP SRL SOCIETA' BENEFIT	POSIZIONE	C4/101
ALTERECO DISPOSABLE SRL	POSIZIONE	A6/059
ALTINMARKA GIDA SANAYI VE TICARET A.S.	POSIZIONE	B3/135
ALTINOGULLARI GIDA TEKS. MAK. PAZ. SAN. TIC. LTD. STI.	POSIZIONE	B4/050
ALVENA SRL	POSIZIONE	A3/081
AMO SRL	POSIZIONE	A6/033
ANCAP SRL	POSIZIONE	B1/030
ANDROS SNC	POSIZIONE	A5/165
ANGEL YEAST CO., LTD.	POSIZIONE	D5/005
ANIMA CONFINDUSTRIA	POSIZIONE	B1/196
ANKOLE DIOCESE REVIVAL COFFEE COOPERATIVE SOCIETY LTD.	POSIZIONE	B1/104
ANSELMI 1892	POSIZIONE	A3/081
Antichi Sapori dell'Etna	POSIZIONE	D5/040
ANTONINO CAUDULLO SRL	POSIZIONE	C1/054
APA dolci - ANTICA PASTICCERIA ARTIGIANALE SRL	POSIZIONE	D5/011
APEI - AMBASCIATORI PASTICCERI DELL'ECCELLENZA ITALIANA	POSIZIONE	Hall SUD/043
APRILE SRL	POSIZIONE	A6/033
APULIA FOOD SRL	POSIZIONE	B8/101B
AQITALY	POSIZIONE	D1/155
AR MANAGEMENT SPA	POSIZIONE	B1/145
AR SERACILIK TARIM A.S.	POSIZIONE	A6/030
ARANCINE SICILIANE SRL	POSIZIONE	C4/048 B
ARCADIA SRLS	POSIZIONE	A6/033
ARDEN TRADING SRL	POSIZIONE	B4/048
ARISTARCO SPA	POSIZIONE	D3/004
ARKMEN LLC	POSIZIONE	C5/186
ARLA FOODS	POSIZIONE	D5/194
AROMA - MACCHINE DA CAFFE'	POSIZIONE	B1/014
AROMATICA SICILIANA SRL	POSIZIONE	B2/042
AROMITALIA - G.E.I. SPA	POSIZIONE	C7/196
AROTZ FOODS S.A.	POSIZIONE	A3/190
ARREDART STUDIO SRL		
ART SERF SPA	POSIZIONE	D2/001
ARTECARTA ITALIA SRL	POSIZIONE	B6/019
Artglace - GELATO DAY - Giornata Europea del Gelato Artigianale	POSIZIONE	A6/047
ARTHEMIA SRL	POSIZIONE	D1/007
ARTI GRAFICHE SCUDERI SRL	POSIZIONE	B4/049
ARTSTEEL S.A.	POSIZIONE	D1/025
ARUSHA COOPERATIVE UNION LIMITED	POSIZIONE	B1/104
ASIT ITALIA SRL	POSIZIONE	A5/192
ASMAT DI DE STEFANO ADRIANO	POSIZIONE	B6/029
ASOCIACIÓN NACIONAL DEL CAFE' DE GUATEMALA – ANACAFE	POSIZIONE	B1/015
